key	英文原文	当前中文	修改列(填这里覆盖)	备注
Settings.Controls.Action.Slider1	Slider 1	滑块 1		
Settings.Controls.Action.Slider1.Negative	Slider 1 Down	滑块 1 向下		
Settings.Controls.Action.Slider1.Positive	Slider 1 Up	滑块 1 向上		
Settings.Controls.Action.Slider2	Slider 2	滑块 2		
Settings.Controls.Action.Slider2.Negative	Slider 2 Down	滑块 2 向下		
Settings.Controls.Action.Slider2.Positive	Slider 2 Up	滑块 2 向上		
Settings.Controls.Action.Slider3	Slider 3	滑块 3		
Settings.Controls.Action.Slider3.Negative	Slider 3 Down	滑块 3 向下		
Settings.Controls.Action.Slider3.Positive	Slider 3 Up	滑块 3 向上		
Settings.Controls.Action.Slider4	Slider 4	滑块 4		
Settings.Controls.Action.Slider4.Negative	Slider 4 Down	滑块 4 向下		
Settings.Controls.Action.Slider4.Positive	Slider 4 Up	滑块 4 向上		
Settings.Controls.Action.SnapToGround	Snap To Ground	吸附到地面		
Settings.Controls.Action.SwapEvaStrafeTurn	Swap Strafe/Turn	交换横移/转向		
Settings.Controls.Action.SwapRollYaw	Swap Roll/Yaw	交换翻滚/偏航		
Settings.Controls.Action.SymmetryModeNext	Next Symmetry Mode	下一个对称模式		
Settings.Controls.Action.SymmetryModePrevious	Previous Symmetry Mode	上一个对称模式		
Settings.Controls.Action.Throttle	Throttle	油门		
Settings.Controls.Action.Throttle.Negative	Throttle Down	油门减小		
Settings.Controls.Action.Throttle.Positive	Throttle Up	油门增大		
Settings.Controls.Action.TiltSunDown	Tilt Sun Down	太阳向下倾斜		
Settings.Controls.Action.TiltSunUp	Tilt Sun Up	太阳向上倾斜		
Settings.Controls.Action.TimeWarpDecrease	Decrease Time Warp	减慢时间加速		
Settings.Controls.Action.TimeWarpIncrease	Increase Time Warp	加快时间加速		
Settings.Controls.Action.ToggleHideUI	Toggle Hide UI	显示/隐藏 UI		
Settings.Controls.Action.ToggleMapView	Toggle Map View	切换地图视图		
Settings.Controls.Action.ToggleMouseJoystick	Toggle Mouse Joystick	切换鼠标摇杆		
Settings.Controls.Action.ToggleMusic	Toggle Music	切换音乐		
Settings.Controls.Action.ToggleNavSphere	Toggle Nav Sphere	切换导航球		
Settings.Controls.Action.TogglePartConnectionsPanel	Toggle Part Connections Panel	切换零件连接面板		
Settings.Controls.Action.TogglePerformanceAnalyzer	Toggle Performance Analyzer	切换性能分析器		
Settings.Controls.Action.ToggleTranslationMode	Toggle Translation Mode	切换平移模式		
Settings.Controls.Action.ToolModifier	Tool Modifier	工具修饰键		
Settings.Controls.Action.TranslateForwardBackward	Translate Forward/Backward	前后平移		
Settings.Controls.Action.TranslateForwardBackward.Negative	Translate Backward	向后平移		
Settings.Controls.Action.TranslateForwardBackward.Positive	Translate Forward	向前平移		
Settings.Controls.Action.TranslateLeftRight	Translate Left/Right	左右平移		
Settings.Controls.Action.TranslateLeftRight.Negative	Translate Left	向左平移		
Settings.Controls.Action.TranslateLeftRight.Positive	Translate Right	向右平移		
Settings.Controls.Action.TranslateUpDown	Translate Up/Down	上下平移		
Settings.Controls.Action.TranslateUpDown.Negative	Translate Down	向下平移		
Settings.Controls.Action.TranslateUpDown.Positive	Translate Up	向上平移		
Settings.Controls.Action.Undo	Undo	撤销		
Settings.Controls.Action.Yaw	Yaw	偏航		
Settings.Controls.Action.Yaw.Negative	Yaw Left	向左偏航		
Settings.Controls.Action.Yaw.Positive	Yaw Right	向右偏航		
Settings.Controls.Actions	Actions	操作		
Settings.Controls.AddController	Add Controller	添加控制器		
Settings.Controls.AddControllerMessage	Press any button or move an axis on the controller you would like to use.	请按下要使用的控制器上的任意按钮，或拨动任意轴。		
Settings.Controls.BindingTitle	Binding {0}	绑定 {0}		
Settings.Controls.Cancel	Cancel	取消		
Settings.Controls.Category.ActivationGroups	Activation Groups	激活组		
Settings.Controls.Category.CameraLook	Camera Look	摄像机环视		
Settings.Controls.Category.Designer	Designer	设计器		
Settings.Controls.Category.DesignerCamera	Designer Camera	设计器摄像机		
Settings.Controls.Category.DesignerManipulateParts	Manipulate Parts	零件操作		
Settings.Controls.Category.DesignerNudgeParts	Position Parts	零件定位		
Settings.Controls.Category.DesignerRotateParts	Rotate Parts	旋转零件		
Settings.Controls.Category.DesignerSymmetry	Symmetry	对称		
Settings.Controls.Category.DesignerTools	Designer Tools	设计器工具		
Settings.Controls.Category.EVA	Astronaut - EVA	宇航员 - EVA		
Settings.Controls.Category.FlightBasics	Flight Controls	飞行控制		
Settings.Controls.Category.FlightOther	Other	其他		
Settings.Controls.Category.MapView	Map View	地图视图		
Settings.Controls.Category.Navigation	Navigation	导航		
Settings.Controls.Category.Other	Other	其他		
Settings.Controls.Category.PlanetStudio	Planet Studio	行星工坊		
Settings.Controls.Category.TimeControl	Time Control	时间控制		
Settings.Controls.CenterAxesMessage	First center or zero all sticks and axes, then press any button or wait for the timer to finish.	请先将所有摇杆与轴归中或归零，然后按下任意按钮或等待计时结束。		
Settings.Controls.ConflictMessage	{0} is already in use by {1}. \n Do you want to replace it? \n You may also choose to add the assignment anyway.	{0} 已被 {1} 占用。 \n 要替换吗？ \n 你也可以选择仍然添加该绑定。		
Settings.Controls.ConflictJoinFinal	, and 	和		
Settings.Controls.ConflictJoinSeparator	, 	、		
Settings.Controls.ControllerSensitivity	Controller Sensitivity	控制器灵敏度		
Settings.Controls.Designer	Designer	设计器		
Settings.Controls.FlightCommon	Flight Common	飞行通用		
Settings.Controls.FlightCraft	Flight Craft	载具飞行		
Settings.Controls.FlightEva	Flight EVA	EVA 飞行		
Settings.Controls.Key.UpArrow	Up	上		
Settings.Controls.Key.Tab	Tab	Tab		
Settings.Controls.Key.Space	Space	空格		
Settings.Controls.Key.RightShift	Right Shift	右 Shift		
Settings.Controls.Key.RightControl	Right Ctrl	右 Ctrl		
Settings.Controls.Key.RightArrow	Right	右		
Settings.Controls.Key.RightAlt	Right Alt	右 Alt		
Settings.Controls.Key.Return	Enter	回车		
Settings.Controls.Key.PageUp	Page Up	Page Up		
Settings.Controls.Key.PageDown	Page Down	Page Down		
Settings.Controls.Key.LeftShift	Left Shift	左 Shift		
Settings.Controls.Key.LeftControl	Left Ctrl	左 Ctrl		
Settings.Controls.Key.LeftArrow	Left	左		
Settings.Controls.Key.LeftAlt	Left Alt	左 Alt		
Settings.Controls.Key.Insert	Insert	Insert		
Settings.Controls.Key.Home	Home	Home		
Settings.Controls.Key.Escape	Esc	Esc		
Settings.Controls.Key.End	End	End		
Settings.Controls.Key.DownArrow	Down	下		
Settings.Controls.Key.Delete	Delete	Delete		
Settings.Controls.Key.CapsLock	Caps Lock	Caps Lock		
Settings.Controls.Key.Backspace	Backspace	Backspace		
Settings.Controls.Keyboard	Keyboard	键盘		
Settings.Controls.MouseXYSensitivity	Mouse XY Sensitivity	鼠标 XY 灵敏度		
Settings.Controls.OpenDevConsole	Open Dev Console	打开开发者控制台		
Settings.Controls.Other	Other	其他		
Settings.Controls.PlanetStudio	Planet Studio	行星工坊		
Settings.Controls.PressButtonMessage	Now press a button or move an axis to assign it to {0}.	现在按下按钮或拨动轴，将其分配给 {0}。		
Settings.Controls.PressKeyMessage	Press a key to assign it to {0}.\nModifier keys may also be used. To assign a modifier key alone, hold it down for 1 second.	按下按键将其分配给 {0}。\n也可以使用修饰键。若要单独分配修饰键，请按住 1 秒。		
Settings.Controls.Remove	Remove	移除		
Settings.Controls.RemoveController	Remove Controller	移除控制器		
Settings.Controls.Replace	Replace	替换		
Settings.Controls.RestoreDefaultsConfirm	This will reset all inputs to the default input configuration, removing any custom input mappings. \n\n Are you certain you want to do this?	这会将所有输入重置为默认输入配置，并移除所有自定义输入映射。 \n\n 确定要这样做吗？		
Settings.Controls.Title	Control Settings	控制设置		
Settings.ControlSettings.MobileFirstTimeMessage	The mobile version of Juno: New Origins needs no extra keyboards or controllers to be fully enjoyed. \n\n For players who do wish to use these devices, this dialog can configure those controls.	Juno: New Origins 移动版无需额外的键盘或控制器即可完整体验。 \n\n 如果你仍希望使用这些设备，可在此对话框中配置相关控制。		
Settings.Craft.CraftReflectionsQuality.None	None	无		
Settings.Craft.CraftReflectionsQuality.None.Description	Craft parts will not reflect anything in their surface.	载具零件的表面不会反射任何物体。		
Settings.Craft.CraftReflectionsQuality.Realtime	Realtime	实时		
Settings.Craft.CraftReflectionsQuality.Realtime.Description	Reflective craft parts will reflect the surrounding world in realtime. Enabling this option can result in extreme performance impacts.	有反射的载具零件会实时反射周围环境。启用此项可能严重影响性能。		
Settings.Craft.CraftReflectionsQuality.Static	Static	静态		
Settings.Craft.CraftReflectionsQuality.Static.Description	Reflective craft parts will use a vague static image to give the illusion of the parts reflecting their surroundings without actually doing so.	有反射的载具零件会使用模糊的静态图像，营造出反射周围环境的错觉，实际并不进行反射。		
Settings.Craft.DetailTextureQuality.Disabled	Disabled	禁用		
Settings.Craft.DetailTextureQuality.Disabled.Description	Detail textures will not be used for craft parts.	载具零件不使用细节贴图。		
Settings.Craft.DetailTextureQuality.High	High	高		
Settings.Craft.DetailTextureQuality.High.Description	High resolution textures will be used for the detail texturing on craft parts.	载具零件的细节贴图将使用高分辨率贴图。		
Settings.Craft.DetailTextureQuality.Low	Low	低		
Settings.Craft.DetailTextureQuality.Low.Description	Low resolution textures will be used for the detail texturing on craft parts.	载具零件的细节贴图将使用低分辨率贴图。		
Settings.Craft.DetailTextureQuality.Medium	Medium	中		
Settings.Craft.DetailTextureQuality.Medium.Description	Medium resolution textures will be used for the detail texturing on craft parts.	载具零件的细节贴图将使用中分辨率贴图。		
Settings.Craft.DetailTextures	Detail Textures	细节贴图		
Settings.Craft.DetailTextures.Description	This setting adjusts the quality of the craft detail textures. These textures apply designs on craft parts via lightening or darkening their base color.	调整载具细节贴图的质量。这些贴图通过明暗变化在载具零件上呈现图案。		
Settings.Craft.MaxCraftLights	Max Craft Lights	载具灯光上限		
Settings.Craft.MaxCraftLights.Description	The maximum number of active lights on a craft at any time. The most recently activated lights get priority when the limit is exceeded.	单个载具同时亮灯的最大数量。超过上限时，优先保留最近开启的灯。		
Settings.Craft.MaxCraftLights.Eight	8	8		
Settings.Craft.MaxCraftLights.Four	4	4		
Settings.Craft.MaxCraftLights.One	1	1		
Settings.Craft.MaxCraftLights.Six	6	6		
Settings.Craft.MaxCraftLights.Sixteen	16	16		
Settings.Craft.MaxCraftLights.Two	2	2		
Settings.Craft.MaxCraftLights.Zero	0	0		
Settings.Craft.NormalMapQuality.Disabled	Disabled	禁用		
Settings.Craft.NormalMapQuality.Disabled.Description	Normal maps will not be used for craft parts.	载具零件不使用法线贴图。		
Settings.Craft.NormalMapQuality.High	High	高		
Settings.Craft.NormalMapQuality.High.Description	High resolution textures will be used for the normal maps on craft parts.	载具零件的法线贴图将使用高分辨率贴图。		
Settings.Craft.NormalMapQuality.Low	Low	低		
Settings.Craft.NormalMapQuality.Low.Description	Low resolution textures will be used for the normal maps on craft parts.	载具零件的法线贴图将使用低分辨率贴图。		
Settings.Craft.NormalMapQuality.Medium	Medium	中		
Settings.Craft.NormalMapQuality.Medium.Description	Medium resolution textures will be used for the normal maps on craft parts.	载具零件的法线贴图将使用中分辨率贴图。		
Settings.Craft.NormalMaps	Normal Maps	法线贴图		
Settings.Craft.NormalMaps.Description	This setting adjusts the quality of the craft normal maps. Normal maps affect lighting and make the parts appear more detailed.	调整载具法线贴图的质量。法线贴图会影响光照，让零件看起来更精细。		
Settings.Craft.Reflections	Reflections	反射		
Settings.Craft.Reflections.Description	This setting changes the way reflections are handled on the craft surfaces.	更改载具表面反射的处理方式。		
Settings.Craft.Title	Craft	载具		
Settings.Designer.PanSensitivity	Pan Sensitivity	平移灵敏度		
Settings.Designer.PanSensitivity.Description	Adjusts the sensitivity of panning the view side to side in the designer.	调整设计器中左右平移视角的灵敏度。		
Settings.Designer.RotateSensitivity	Rotate Sensitivity	旋转灵敏度		
Settings.Designer.RotateSensitivity.Description	Adjusts the sensitivity of rotating the view in the designer.	调整设计器中旋转视角的灵敏度。		
Settings.Designer.Title	Designer	设计器		
Settings.Designer.ZoomSensitivity	Zoom Sensitivity	缩放灵敏度		
Settings.Designer.ZoomSensitivity.Description	Adjusts the sensitivity of zooming the view in/out in the designer.	调整设计器中拉近拉远视角的灵敏度。		
Settings.Designer.NavigationCube	Navigation Cube	导航立方体		
Settings.Designer.NavigationCube.Description	Shows a small interactive view cube in the designer. Click it to snap the camera to standard orthographic views, or drag it to rotate the camera freely.	在设计器中显示一个小型交互视图立方体。点击可将摄像机切换到标准正交视图，拖动可自由旋转摄像机。		
Settings.Designer.NavigationCubeScale	Nav Cube Scale	导航立方体大小		
Settings.Designer.NavigationCubeScale.Description	Adjusts the on-screen size of the designer navigation cube.	调整设计器导航立方体在屏幕上的大小。		
Settings.DiscardOrApplyMessage	You have pending changes in the current tab.\n\nPlease discard or apply changes before switching tabs.	当前标签页中有未应用的更改。\n\n请先放弃或应用更改，然后再切换标签页。		
Settings.Display.AntiAliasing	Anti-Aliasing	抗锯齿		
Settings.Display.AntiAliasing.Description	Anti-aliasing helps smooth pixelated edges.	抗锯齿有助于让锯齿边缘更平滑。		
Settings.Display.AntiAliasingType.FXAA	FXAA	FXAA		
Settings.Display.AntiAliasingType.FXAA.Description	Fast approximate anti-aliasing will be used.	将使用快速近似抗锯齿。		
Settings.Display.AntiAliasingType.MSAA2	MSAA x2	MSAA x2		
Settings.Display.AntiAliasingType.MSAA2.Description	2x Multi-sample anti-aliasing will be used.	将使用 2 倍多重采样抗锯齿。		
Settings.Display.AntiAliasingType.MSAA4	MSAA x4	MSAA x4		
Settings.Display.AntiAliasingType.MSAA4.Description	4x Multi-sample anti-aliasing will be used.	将使用 4 倍多重采样抗锯齿。		
Settings.Display.AntiAliasingType.MSAA8	MSAA x8	MSAA x8		
Settings.Display.AntiAliasingType.MSAA8.Description	8x Multi-sample anti-aliasing will be used.	将使用 8 倍多重采样抗锯齿。		
Settings.Display.AntiAliasingType.None	None	无		
Settings.Display.AntiAliasingType.None.Description	No anti-aliasing will be used.	不使用抗锯齿。		
Settings.Display.Fullscreen	Fullscreen	全屏		
Settings.Display.Fullscreen.Description	Toggles the option of rendering the game in fullscreen mode or windowed mode.	切换游戏以全屏模式或窗口模式渲染。		
Settings.Display.MobileResolution	Resolution	分辨率		
Settings.Display.MobileResolution.Description	Reducing the resolution can improve performance and battery life, but at the cost of reduced visual quality.	降低分辨率可提升性能并延长续航，但会牺牲画面质量。		
Settings.Display.RefreshRate	Refresh Rate	刷新率		
Settings.Display.RefreshRate.Default	Default	默认		
Settings.Display.RefreshRate.Description	Uses V-Sync to lock the game's framerate to the monitor's refresh rate, preventing screen tearing. Also improves battery life and reduces overheating on laptops and mobile devices.	使用垂直同步将游戏帧率锁定到显示器刷新率，防止画面撕裂。在笔记本电脑和移动设备上还能延长续航并减少发热。		
Settings.Display.RefreshRate.Description.Mobile	Limits the maximum refresh rate of the game to improve battery life and reduce overheating.	限制游戏的最大刷新率，以延长续航并减少发热。		
Settings.Display.RefreshRate.Unrestricted	Unrestricted	无限制		
Settings.Display.RefreshRate.Warning	Setting the refresh rate above your monitor's native rate may cause instability.	将刷新率设置得高于显示器原生刷新率可能导致不稳定。		
Settings.Display.Resolution	Resolution	分辨率		
Settings.Display.Resolution.Description	The resolution at which the game is rendered.	游戏渲染所使用的分辨率。		
Settings.Display.ResolutionScale	Resolution Scale	分辨率缩放		
Settings.Display.ResolutionScale.Description	Renders the game scene at a smaller resolution than the current one. This keeps the UI high resolution while reducing the game's overall graphical resolution.	以低于当前分辨率的尺寸渲染游戏场景。这样可降低整体画面分辨率，同时保持界面清晰。		
Settings.Display.ResolutionScale.Full	Full	完整		
Settings.Display.ResolutionScale.Half	Half	一半		
Settings.Display.Title	Display	显示		
Settings.Explosions.Colliders	Debris Colliders	残骸碰撞体		
Settings.Explosions.Colliders.Description	Sets the quality of physics colliders for debris pieces.	设置残骸碎片的物理碰撞体质量。		
Settings.Explosions.CollidersQuality.Off	Off	关		
Settings.Explosions.CollidersQuality.Off.Description	Colliders will be disabled for explosion debris. It will just fall right through stuff, but will be faster.	爆炸残骸将禁用碰撞体。它们会直接穿过物体，但性能更好。		
Settings.Explosions.CollidersQuality.On	On	开		
Settings.Explosions.CollidersQuality.On.Description	Explosions debris will contain a physics collider. It won't fall through objects.	爆炸残骸将带有物理碰撞体，不会穿过物体。		
Settings.Explosions.DebrisLifeTime	Debris Lifetime	残骸存留时间		
Settings.Explosions.DebrisLifeTime.Description	The lifetime (in seconds) of explosion debris.	爆炸残骸的存在时间（秒）。		
Settings.Explosions.DebrisRetention	Debris Retention	残骸保留		
Settings.Explosions.DebrisRetention.Description	We will discard pieces that are smaller than a certain size (which is determined by this setting).	小于一定尺寸的碎片会被丢弃（该尺寸由本设置决定）。		
Settings.Explosions.DebrisRetentionQuality.High	High	高		
Settings.Explosions.DebrisRetentionQuality.High.Description	Only the smaller debris will be discarded.	仅丢弃较小的残骸。		
Settings.Explosions.DebrisRetentionQuality.Low	Low	低		
Settings.Explosions.DebrisRetentionQuality.Low.Description	Debris are aggressively discarded, including medium and some larger pieces.	大幅丢弃残骸，包括中等和部分较大的碎片。		
Settings.Explosions.DebrisRetentionQuality.Medium	Medium	中		
Settings.Explosions.DebrisRetentionQuality.Medium.Description	Fewer large debris are discarded, but some medium pieces still are.	丢弃的较大残骸更少，但仍会丢弃部分中等碎片。		
Settings.Explosions.DebrisRetentionQuality.Ultra	Ultra	极致		
Settings.Explosions.DebrisRetentionQuality.Ultra.Description	Similar to high setting except some parts which would never have debris will have it now.	与「高」类似，但一些原本不会产生残骸的零件现在也会产生。		
Settings.Explosions.PartFracturing	Part Fracturing	零件碎裂		
Settings.Explosions.PartFracturing.Description	Controls the size and number of pieces parts will explode into. Larger pieces means there are fewer of them and therefore increases performance.	控制零件爆炸后产生的碎片大小与数量。碎片越大则数量越少，性能越好。		
Settings.Explosions.PartFracturingSizeQuality.Large	Large	大		
Settings.Explosions.PartFracturingSizeQuality.Large.Description	Parts will fracture into fewer, large parts.	零件会碎成较少的大块。		
Settings.Explosions.PartFracturingSizeQuality.Medium	Medium	中		
Settings.Explosions.PartFracturingSizeQuality.Medium.Description	Parts will fracture into more, smaller parts.	零件会碎成更多的小块。		
Settings.Explosions.PartFracturingSizeQuality.Off	Off	关		
Settings.Explosions.PartFracturingSizeQuality.Off.Description	Exploded parts will not fracture into smaller pieces.	爆炸的零件不会碎成小块。		
Settings.Explosions.PartFracturingSizeQuality.Small	Small	小		
Settings.Explosions.PartFracturingSizeQuality.Small.Description	Parts will fracture into many, even smaller parts.	零件会碎成许多更小的块。		
Settings.Explosions.ParticleEffect	Particle Effect Quality	粒子效果质量		
Settings.Explosions.ParticleEffect.Description	Sets the quality of the particle effects for explosion debris.	设置爆炸残骸粒子效果的质量。		
Settings.Explosions.ParticleEffectFrequency	Particle Effect Frequency	粒子效果频率		
Settings.Explosions.ParticleEffectFrequency.Description	Sets the frequency at which particle effects are added to explosion debris. WARNING: Increasing this can severely impact performance.	设置爆炸残骸附加粒子效果的频率。警告：提高此项会严重影响性能。		
Settings.Explosions.ParticleEffectFrequency.Warning	Increase the number of particle effects in small increments to see how your system handles it. It has a large impact on performance and could make the game unresponsive.	请小幅提高粒子效果数量，观察系统能否承受。它对性能影响很大，可能导致游戏无响应。		
Settings.Explosions.ParticleEffectLightFrequency	Light Frequency	灯光频率		
Settings.Explosions.ParticleEffectLightFrequency.Description	Sets how often lights are added to particle effects. This can severely impact performance and may require reducing the particle effect frequency. WARNING: Increasing this can severely impact performance.	设置粒子效果附加灯光的频率。这会严重影响性能，可能需要降低粒子效果频率。警告：提高此项会严重影响性能。		
Settings.Explosions.ParticleEffectLightFrequency.Warning	Increase the number of lights in small increments to see how your system handles it. It has a large performance impact and could make the game unresponsive.	请小幅提高灯光数量，观察系统能否承受。它对性能影响很大，可能导致游戏无响应。		
Settings.Explosions.ParticleEffectQuality.High	High	高		
Settings.Explosions.ParticleEffectQuality.High.Description	Higher quality shader that responds to light conditions and have volumetric effects.	更高质量的着色器，可响应光照条件并具有体积效果。		
Settings.Explosions.ParticleEffectQuality.Medium	Medium	中		
Settings.Explosions.ParticleEffectQuality.Medium.Description	A less taxing particle effect shader.	负载更低的粒子效果着色器。		
Settings.Explosions.Title	Explosions	爆炸		
Settings.Flight.AmbientLightAtNight	Ambient Light At Night	夜间环境光		
Settings.Flight.AmbientLightAtNight.Description	Adjusts the strength of the ambient lighting at night.	调整夜间环境光的强度。		
Settings.Flight.AmbientLightAttenuation	Ambient Light Attenuation	环境光衰减		
Settings.Flight.AmbientLightAttenuation.Description	Enables or disables ambient light attenuation. When enabled, ambient light is only applied to an area centered on the game camera, falling off to nothing in the distance.	启用或禁用环境光衰减。启用后，环境光仅作用于以游戏摄像机为中心的区域，并随距离逐渐消失。		
Settings.Flight.AmbientLightInSpace	Ambient Light In Space	太空环境光		
Settings.Flight.AmbientLightInSpace.Description	Adjusts the strength of the ambient lighting in space.	调整太空中环境光的强度。		
Settings.Flight.CameraSensitivity	Camera Sensitivity	摄像机灵敏度		
Settings.Flight.CameraSensitivity.Description	Adjusts the sensitivity of the flight camera.	调整飞行摄像机的灵敏度。		
Settings.Flight.CameraShake	Camera Shake	摄像机抖动		
Settings.Flight.CameraShake.Description	Adjusts the strength of the camera shake in flight.	调整飞行中摄像机抖动的强度。		
Settings.Flight.CameraSpeed	Camera Speed	摄像机速度		
Settings.Flight.CameraSpeed.Description	Adjusts the rotation speed of the flight camera. The higher this is, the less 'floaty' the camera will feel.	调整飞行摄像机的旋转速度。数值越高，摄像机越不「飘」。		
Settings.Flight.ChaseCameraSmoothing	Chase Camera Smoothing	追尾摄像机平滑		
Settings.Flight.ChaseCameraSmoothing.Description	Adjusts the smoothing of the chase camera.	调整追尾摄像机的平滑程度。		
Settings.Flight.FastForwardSpeed	Fast Forward Speed	快进速度		
Settings.Flight.FastForwardSpeed.Description	Adjusts the fast forward speed. Setting this too high can cause performance problems during fast forward. This setting does not impact warp speeds.	调整快进速度。设置过高会导致快进时出现性能问题。本设置不影响时间加速速度。		
Settings.Flight.FastForwardSpeed.Warning	Increasing the fast forward speed reduces framerate while fast forwarding. Smaller crafts may not be hit much, but larger ones can drop framerate severely. Lowering the "Physics Update Frequency" setting allows higher fast forward with less framerate drop. This setting doesn't affect framerate during warping.	提高快进速度会降低快进时的帧率。小型载具受影响较小，但大型载具的帧率可能大幅下降。降低「物理更新频率」设置可在帧率下降更少的前提下使用更高的快进速度。本设置不影响时间加速时的帧率。		
Settings.Flight.FpsCameraSmoothing	FPS Camera Smoothing	FPS 摄像机平滑		
Settings.Flight.FpsCameraSmoothing.Description	Adjusts the smoothing of the first-person camera when controlling an astronaut.	调整操控宇航员时第一人称摄像机的平滑程度。		
Settings.Flight.FpsCameraSpeed	FPS Camera Speed	FPS 摄像机速度		
Settings.Flight.FpsCameraSpeed.Description	Adjusts the sensitivity of the first-person camera when controlling an astronaut.	调整操控宇航员时第一人称摄像机的灵敏度。		
Settings.Flight.SlowMoSpeed	Slow-Mo Speed	慢动作速度		
Settings.Flight.SlowMoSpeed.Description	Adjust the slow motion speed.	调整慢动作速度。		
Settings.Flight.StarBrightness	Star Brightness	星光亮度		
Settings.Flight.StarBrightness.Description	Adjusts the strength of the stars in the background.	调整背景星光的强度。		
Settings.Flight.Title	Flight	飞行		
Settings.Game	Game	游戏		
Settings.General.FieldOfView	Field of View	视场角		
Settings.General.FieldOfView.Description	The field of view used by most of the game cameras.	游戏中大多数摄像机所使用的视场角。		
Settings.General.FileLogging	File Logging	文件日志		
Settings.General.FileLogging.Description	Determines how the game handles file logging for errors, warnings and other log messages.	决定游戏如何将错误、警告和其他日志消息记录到文件。		
Settings.General.Language	Language	语言		
Settings.General.Language.Description	Language	语言		
Settings.General.MobileFileLoggingType.Full	Full	全部		
Settings.General.MobileFileLoggingType.Full.Description	All log messages will be recorded and logged to a file during loading screens.	加载界面期间，所有日志消息都会被记录并写入文件。		
Settings.General.MobileFileLoggingType.Minimal	Minimal	最少		
Settings.General.MobileFileLoggingType.Minimal.Description	Errors and warnings will be recorded and logged to a file during loading screens.	加载界面期间，错误和警告会被记录并写入文件。		
Settings.General.MobileFileLoggingType.None	None	无		
Settings.General.MobileFileLoggingType.None.Description	No file logging will occur after the game is initialized.	游戏初始化后不再写入日志文件。		
Settings.General.MobileFileLoggingType.Realtime	Realtime	实时		
Settings.General.MobileFileLoggingType.Realtime.Description	All log messages will be recorded and logged to a file as they are received.	所有日志消息在产生时即被记录并写入文件。		
Settings.General.RunInBackground	Run In Background	后台运行		
Settings.General.RunInBackground.Description	If enabled, the game will continue to run while minimized or not in focus.	启用后，游戏在最小化或失去焦点时仍会继续运行。		
Settings.General.Title	General	通用		
Settings.General.UiPaddingSides	User Interface Padding - Sides	界面边距 - 左右		
Settings.General.UiPaddingSides.Description	This setting pulls in the UI from the side edges of the screen for devices that have notches or curved corners.	针对带有刘海或圆角的设备，让界面远离屏幕左右边缘。		
Settings.General.UiPaddingTopBottom	User Interface Padding - Top/Bottom	界面边距 - 上下		
Settings.General.UiPaddingTopBottom.Description	This setting pulls in the UI from the top and bottom edges of the screen for devices that have notches or curved corners.	针对带有刘海或圆角的设备，让界面远离屏幕上下边缘。		
Settings.General.UIPreferences	UI Preferences	界面偏好		
Settings.General.UIPreferences.Reset	Reset	重置		
Settings.General.UIPreferences.ResetMessage	UI Preferences have been reset. Reload the current scene for the changes to take effect.	界面偏好已重置。重新加载当前场景后更改才会生效。		
Settings.General.UserInterfaceSize	User Interface Size	界面大小		
Settings.General.UserInterfaceSize.Description	Increases or decreases the size of the user interface.	增大或减小用户界面的大小。		
Settings.ImageEffects.AmbientOcclusion	Ambient Occlusion	环境光遮蔽		
Settings.ImageEffects.AmbientOcclusion.Description	Intensity of ambient occlusion, which renders soft shadows in complex geometry and makes the scene look more realistic.	环境光遮蔽的强度。它会在复杂几何体上渲染柔和阴影，让场景看起来更真实。		
Settings.ImageEffects.AnamorphicFlareIntensity	Anamorphic Flare Intensity	变形光晕强度		
Settings.ImageEffects.AnamorphicFlareIntensity.Description	Changes the intensity of the anamorphic flares. Zero percent is off.	更改变形光晕的强度。0% 表示关闭。		
Settings.ImageEffects.BloomIntensity	Bloom Intensity	泛光强度		
Settings.ImageEffects.BloomIntensity.Description	Changes the intensity of bloom. Zero percent is off.	更改泛光的强度。0% 表示关闭。		
Settings.ImageEffects.Contrast	Contrast	对比度		
Settings.ImageEffects.Contrast.Description	Changes the contrast image setting.	更改画面对比度设置。		
Settings.ImageEffects.Enabled	Enabled	启用		
Settings.ImageEffects.Enabled.Description	Toggles image effects on/off.	开关图像效果。		
Settings.ImageEffects.HighDynamicRange	High Dynamic Range	高动态范围		
Settings.ImageEffects.HighDynamicRange.Description	Toggles HDR on/off. HDR can have a significant impact on memory usage and performance.	开关 HDR。HDR 会显著影响内存占用和性能。		
Settings.ImageEffects.Saturation	Saturation	饱和度		
Settings.ImageEffects.Saturation.Description	Changes the saturation image setting.	更改画面饱和度设置。		
Settings.ImageEffects.Sharpness	Sharpness	锐度		
Settings.ImageEffects.Sharpness.Description	Changes the sharpness image setting.	更改画面锐度设置。		
Settings.ImageEffects.SunFlareIntensity	Sun Flare Intensity	太阳光晕强度		
Settings.ImageEffects.SunFlareIntensity.Description	Changes the intensity of the sun flare. Zero percent is off.	更改太阳光晕的强度。0% 表示关闭。		
Settings.ImageEffects.Title	Image Effects	图像效果		
Settings.ImageEffects.ToneMap.Alien	Alien	异星		
Settings.ImageEffects.ToneMap.Alien.Description	Hard on the eye, barely usable, but quite fun.	很刺眼，几乎不能用，但挺有趣。		
Settings.ImageEffects.ToneMap.Blue	Just Blue	纯蓝		
